,1.100_256000_256_1
0,0.0
5,3.3263888
10,6.6486487
15,9.890323
20,10.690789
25,14.0
30,16.639751
35,17.841463
40,20.30921
45,24.074533
50,26.43421
55,29.493422
60,25.092592
65,27.340279
70,34.321213
75,32.658066
80,38.219357
85,37.652172
90,45.42236
95,39.962025
100,41.493977
105,46.136646
110,50.798782
115,52.658066
120,59.85119
125,47.47953
130,54.545456
135,61.26923
140,61.360546
145,62.006622
150,57.066666
155,56.506172
160,64.58064
165,58.06832
170,78.25444
175,70.025
180,75.979454
185,69.62987
190,66.50303
195,73.47651
200,73.4908
205,83.081764
210,87.75309
215,87.475
220,75.66443
225,77.891716
230,80.89156
235,70.80666
240,94.278786
245,85.7947
250,103.93464
255,96.30061
260,89.14724
265,81.39521
270,96.9645
275,99.22034
280,90.0
285,103.288734
290,109.45562
295,93.58683
300,91.9
305,106.4125
310,126.773
315,108.36539
320,115.95862
325,114.99383
330,111.42105
335,113.35542
340,127.01911
345,109.006096
350,129.70253
355,130.91196
360,125.054054
365,111.360756
370,107.26415
375,117.56129
380,133.52942
385,115.38971
390,137.93378
395,131.99364
400,153.12837
405,122.13219
410,131.86624
415,138.39024
420,134.46584
425,130.83109
430,169.98112
435,110.775
440,115.5274
445,160.96895
450,168.09494
455,133.05031
460,135.59393
465,151.78882
470,127.07692
475,141.09804
480,165.03572
485,154.13333
490,135.28659
495,153.42613
500,154.66667
505,167.74097
510,130.72025
515,164.16022
520,179.84666
525,144.5473
530,145.84515
535,154.16779
540,205.49324
545,189.57433
550,150.87117
555,143.89743
560,153.75816
565,149.55484
570,155.04118
575,166.59311
580,182.80368
585,135.67722
590,152.03105
595,178.62987
600,169.62346
605,184.53847
610,190.44444
615,158.65807
620,219.1962
625,157.08054
630,193.36905
635,189.77563
640,188.08485
645,215.28947
650,202.08281
655,182.56395
660,222.45238
665,180.40373
670,177.34395
675,182.19286
680,191.97144
685,186.53293
690,194.25444
695,163.47562
700,205.60248
705,199.43506
710,188.33824
715,181.62874
720,233.58553
725,231.98718
730,163.63333
735,222.54375
740,209.39102
745,180.02702
750,182.175
755,170.81506
760,153.84932
765,211.45807
770,230.79471
775,187.17308
780,213.55624
785,200.0443
790,215.87413
795,199.25
800,218.5394
805,208.53374
810,190.46622
815,195.68124
820,177.87334
825,189.28572
830,234.2987
835,292.5064
840,202.74324
845,262.76398
850,212.9489
855,266.0
860,215.95238
865,237.97974
870,235.45807
875,224.51898
880,302.0743
885,254.25807
890,181.63158
895,210.19862
900,226.91463
905,245.39752
910,257.2953
915,248.66884
920,250.06451
925,210.62025
930,231.51334
935,275.47305
940,211.74342
945,219.12422
950,232.69753
955,226.13496
960,255.09203
965,232.60378
970,262.94873
975,241.61842
980,258.3155
985,297.8718
990,207.77711
995,282.49005
1000,204.34723
1005,290.49078
1010,253.36913
1015,192.3077
1020,206.77988
1025,275.0265
1030,308.54968
1035,293.21796
1040,252.69276
1045,212.28572
1050,251.34146
1055,297.18713
1060,230.01324
1065,258.82993
1070,233.19109
1075,225.04
1080,279.02026
1085,260.5977
1090,304.30246
1095,267.39395
1100,274.51764
1105,261.51678
1110,226.13548
1115,283.97403
1120,279.31757
1125,311.9217
1130,319.50748
1135,291.63126
1140,311.22012
1145,287.66013
1150,277.13254
1155,316.46356
1160,262.5
1165,298.6087
1170,279.63974
1175,282.34375
1180,263.9342
1185,295.4189
1190,278.17218
1195,245.71857
1200,335.4875
1205,276.42682
1210,296.7793
1215,347.7857
1220,276.67764
1225,292.43558
1230,285.77194
1235,228.81699
1240,269.3487
1245,237.68
1250,265.65244
1255,326.43375
1260,232.91667
1265,350.44217
1270,292.08496
1275,257.26923
1280,293.63354
1285,293.07187
1290,315.61212
1295,340.7078
1300,274.83334
1305,341.68945
1310,365.79517
1315,390.18405
1320,259.84714
1325,286.54376
1330,393.9759
1335,290.18063
1340,307.43124
1345,327.93378
1350,326.94446
1355,269.2381
1360,280.31125
1365,324.31055
1370,288.59006
1375,302.51035
1380,215.24051
1385,367.1842
1390,350.48
1395,386.57745
1400,305.33743
1405,390.78125
1410,389.3952
1415,352.08176
1420,339.74252
1425,387.64667
1430,348.64053
1435,286.82318
1440,313.4771
1445,343.05298
1450,250.16339
1455,304.62585
1460,290.23602
1465,340.18
1470,345.275
1475,317.45752
1480,338.52866
1485,362.57648
1490,328.13104
1495,359.97385
1500,372.0
1505,267.68073
1510,343.98114
1515,370.8199
1520,268.7931
1525,405.32935
1530,308.71265
1535,291.38254
1540,368.31613
1545,314.64865
1550,349.06708
1555,299.5779
1560,347.76
1565,378.6346
1570,324.2774
1575,363.51236
1580,301.30768
1585,336.23566
1590,378.7658
1595,392.825
1600,318.74835
1605,317.39307
1610,277.8693
1615,318.4258
1620,370.60266
1625,308.19745
1630,335.5509
1635,428.93024
1640,349.25153
1645,253.86429
1650,306.30597
1655,295.40845
1660,422.6242
1665,314.12988
1670,366.85455
1675,281.7857
1680,319.375
1685,312.30322
1690,394.62338
1695,389.79504
1700,338.47272
1705,332.93976
1710,474.92667
1715,312.19107
1720,400.27704
1725,379.7342
1730,408.9345
1735,353.96274
1740,303.53415
1745,366.975
1750,348.95267
1755,416.28482
1760,343.71036
1765,410.4625
1770,481.33334
1775,404.06412
1780,290.18243
1785,431.8146
1790,391.61935
1795,372.16183
1800,345.69183
1805,395.06024
1810,377.67975
1815,326.51947
1820,352.71875
1825,307.01923
1830,332.73026
1835,360.22983
1840,411.19254
1845,353.71243
1850,353.58066
1855,278.76923
1860,358.7736
1865,312.23392
1870,542.76074
1875,401.0788
1880,436.55173
1885,434.13376
1890,522.1266
1895,411.99384
1900,373.38788
1905,420.0629
1910,397.513
1915,372.90115
1920,466.5119
1925,364.09555
1930,383.4091
1935,443.4611
1940,377.65408
1945,332.6688
1950,368.38217
1955,313.77844
1960,347.87012
1965,402.987
1970,356.70987
1975,321.12903
1980,422.2073
1985,399.53085
1990,335.34338
1995,440.00623
2000,439.2963
2005,436.08823
2010,382.7841
2015,379.62936
2020,296.83444
2025,300.98788
2030,422.5
2035,383.52795
2040,434.80368
2045,336.64557
2050,390.95
2055,388.4107
2060,449.03775
2065,406.53375
2070,406.79877
2075,417.60233
2080,459.57144
2085,472.24527
2090,374.4491
2095,365.57822
2100,376.22
2105,417.79413
2110,361.3097
2115,417.53488
2120,317.31787
2125,415.56165
2130,430.2585
2135,418.55423
2140,433.78378
2145,400.7566
2150,508.1709
2155,444.6375
2160,491.48486
2165,420.95032
2170,445.7329
2175,528.2121
2180,353.96835
2185,364.47223
2190,483.44897
2195,377.73914
2200,507.41464
2205,402.99362
2210,431.9371
2215,502.53796
2220,401.4497
2225,434.86826
2230,421.0861
2235,468.10226
2240,398.5828
2245,467.41666
2250,488.73077
2255,406.57233
2260,356.3716
2265,321.39597
2270,325.36478
2275,599.52905
2280,426.94083
2285,473.49057
2290,385.71155
2295,441.2622
2300,457.54913
2305,436.56955
2310,352.025
2315,455.19595
2320,587.8089
2325,433.17575
2330,454.7342
2335,481.52048
2340,410.55032
2345,409.66666
2350,442.2903
2355,458.22293
2360,434.47058
2365,415.9
2370,383.53458
2375,502.41666
2380,413.89334
2385,554.5195
2390,463.44376
2395,431.9936
2400,422.91876
2405,434.4606
2410,421.46625
2415,440.5305
2420,546.125
2425,450.12057
2430,453.82822
2435,352.5844
2440,463.10367
2445,376.20605
2450,400.5696
2455,398.76074
2460,421.5563
2465,392.23077
2470,445.72562
2475,442.96027
2480,423.60257
2485,392.74545
2490,483.68265
2495,416.5
2500,412.62988
2505,533.97455
2510,494.54037
2515,561.2716
2520,557.4474
2525,457.2822
2530,475.41278
2535,492.2857
2540,368.9448
2545,459.75177
2550,469.90445
2555,491.94904
2560,489.75165
2565,466.13794
2570,483.9294
2575,432.42236
2580,525.41876
2585,495.675
2590,540.2387
2595,362.28476
2600,432.16025
2605,495.8705
2610,522.3831
2615,408.76102
2620,560.88556
2625,384.74545
2630,529.773
2635,515.3026
2640,369.2516
2645,506.1284
2650,526.50604
2655,438.09555
2660,469.79355
2665,508.0368
2670,517.0479
2675,386.04294
2680,431.56757
2685,509.8
2690,566.3413
2695,413.325
2700,419.17752
2705,685.006
2710,548.5793
2715,446.4183
2720,582.87115
2725,453.2456
2730,415.59756
2735,452.46875
2740,534.3185
2745,531.745
2750,495.68
2755,540.4423
2760,439.65454
2765,474.61447
2770,489.24118
2775,419.84616
2780,515.28107
2785,643.78845
2790,541.18353
2795,538.7925
2800,410.1871
2805,548.5223
2810,518.3353
2815,466.7195
2820,546.87823
2825,560.7006
2830,534.36707
2835,573.86957
2840,469.51874
2845,378.7898
2850,413.81528
2855,496.5562
2860,414.625
2865,492.71875
2870,433.15585
2875,426.4151
2880,566.59357
2885,443.0606
2890,384.63333
2895,470.68875
2900,620.8117
2905,529.0927
2910,468.8909
2915,547.5101
2920,543.5
2925,473.51947
2930,549.7212
2935,525.9935
2940,390.62964
2945,518.36945
2950,503.16464
2955,496.0191
2960,427.3913
2965,558.0559
2970,505.50955
2975,473.9527
2980,407.90668
2985,503.70255
2990,778.66
2995,569.5185
3000,569.5625
3005,449.5493
3010,600.9045
3015,554.1152
3020,389.66443
3025,639.31055
3030,447.19354
3035,596.52
3040,496.44586
3045,568.5135
3050,660.2083
3055,447.94806
3060,504.9592
3065,573.1177
3070,517.42676
3075,529.64624
3080,572.0192
3085,578.5772
3090,424.13208
3095,627.8953
3100,526.9097
3105,502.213
3110,535.35675
3115,507.5
3120,519.1769
3125,493.71155
3130,554.3879
3135,538.20514
3140,482.17648
3145,474.26923
3150,509.91763
3155,661.2195
3160,461.45343
3165,507.70554
3170,651.5179
3175,503.50345
3180,724.2874
3185,672.0892
3190,529.6242
3195,471.66025
3200,435.67307
3205,625.94904
3210,588.8037
3215,629.81714
3220,586.5253
3225,514.6447
3230,512.3893
3235,527.51514
3240,417.76074
3245,512.98676
3250,611.4699
3255,671.3497
3260,476.28485
3265,510.50616
3270,517.3014
3275,725.7205
3280,549.6813
3285,421.45578
3290,517.6478
3295,469.98602
3300,507.58896
3305,590.369
3310,500.16565
3315,594.3933
3320,585.64935
3325,438.9527
3330,475.75674
3335,598.8225
3340,463.81458
3345,508.58905
3350,642.634
3355,498.097
3360,470.9625
3365,433.30768
3370,393.2886
3375,510.6149
3380,495.86624
3385,694.5855
3390,594.4049
3395,475.30667
3400,566.0994
3405,613.67487
3410,666.20496
3415,535.3415
3420,707.5663
3425,555.4074
3430,584.76135
3435,520.006
3440,522.2867
3445,630.77014
3450,356.54477
3455,583.3806
3460,496.16446
3465,537.3092
3470,580.72516
3475,526.45
3480,606.42957
3485,496.68182
3490,597.8896
3495,578.15234
3500,500.10596
3505,568.9497
3510,553.2595
3515,747.65247
3520,753.78064
3525,622.7697
3530,580.1611
3535,571.44293
3540,685.6382
3545,425.47134
3550,469.94156
3555,616.3657
3560,646.5774
3565,545.0497
3570,635.79877
3575,597.8125
3580,502.67682
3585,501.18
3590,574.1847
3595,492.62894
3600,635.2886
3605,501.17242
3610,586.8758
3615,622.0671
3620,677.7892
3625,585.71344
3630,647.40936
3635,573.4041
3640,484.3791
3645,563.3882
3650,575.3487
3655,659.6392
3660,569.1585
3665,679.0633
3670,525.6443
3675,505.1757
3680,590.9718
3685,527.253
3690,632.8375
3695,604.96643
3700,616.8497
3705,607.3791
3710,657.96686
3715,505.9212
3720,566.16455
3725,518.92725
3730,535.8973
3735,562.8293
3740,720.67096
3745,532.7451
3750,465.013
3755,502.82693
3760,545.4903
3765,659.69385
3770,501.80127
3775,630.3274
3780,660.2516
3785,581.1722
3790,706.7063
3795,525.93835
3800,498.6879
3805,558.77924
3810,831.3585
3815,578.9091
3820,630.1228
3825,624.1613
3830,750.1543
3835,622.89105
3840,610.06537
3845,692.2893
3850,691.12726
3855,535.9122
3860,600.4516
3865,498.24692
3870,511.67926
3875,554.0486
3880,731.2
3885,518.7013
3890,526.14014
3895,516.22876
3900,693.0
3905,601.9114
3910,439.72974
3915,538.37177
3920,554.9226
3925,794.80536
3930,553.5697
3935,581.43243
3940,569.8289
3945,440.4875
3950,620.45715
3955,531.7178
3960,647.2075
3965,536.013
3970,538.25
3975,685.7055
3980,571.31323
3985,726.0759
3990,648.98224
3995,637.36304
4000,522.6731
4005,641.5443
4010,524.26874
4015,647.3533
4020,562.0559
4025,617.7655
4030,748.45123
4035,512.72186
4040,641.3976
4045,538.0186
4050,663.1065
4055,615.7059
4060,740.1724
4065,705.35333
4070,599.3767
4075,572.0199
4080,814.6725
4085,608.7202
4090,650.73206
4095,602.1731
4100,572.05
4105,689.4909
4110,557.2038
4115,664.7143
4120,747.729
4125,649.79443
4130,781.34393
4135,544.5523
4140,688.95154
4145,452.59882
4150,691.89874
4155,552.14557
4160,850.3533
4165,657.2695
4170,636.98676
4175,543.8933
4180,716.87177
4185,637.6053
4190,592.6405
4195,642.4727
4200,542.2222
4205,686.1382
4210,606.99384
4215,757.8688
4220,642.68665
4225,468.43353
4230,605.56604
4235,484.89032
4240,608.8816
4245,642.28143
4250,616.8889
4255,523.025
4260,511.36478
4265,529.63464
4270,699.67084
4275,817.30615
4280,757.41174
4285,611.2102
4290,850.1656
4295,728.7126
4300,585.9808
4305,618.7755
4310,586.8228
4315,541.6954
4320,839.4968
4325,753.12866
4330,628.4803
4335,676.56946
4340,784.65
4345,781.63696
4350,548.68665
4355,553.1829
4360,532.0
4365,800.6169
4370,726.7448
4375,669.5961
4380,807.9632
4385,637.10626
4390,505.77576
4395,626.55554
4400,643.1529
4405,533.3958
4410,793.2876
4415,449.5066
4420,604.77576
4425,732.1419
4430,734.2883
4435,756.4099
4440,772.4967
4445,642.019
4450,980.761
4455,615.3812
4460,573.59753
4465,556.99396
4470,844.2977
4475,835.55695
4480,791.27625
4485,661.7337
4490,664.00665
4495,592.7965
4500,604.4028
4505,649.11725
4510,585.76025
4515,770.4904
4520,632.3187
4525,685.00604
4530,657.225
4535,573.7342
4540,657.21344
4545,660.29486
4550,687.1595
4555,715.4734
4560,904.0855
4565,661.13336
4570,732.59625
4575,569.2593
4580,617.14465
4585,788.8059
4590,514.73206
4595,612.7798
4600,505.91275
4605,903.3419
4610,680.9264
4615,502.20624
4620,560.0
4625,587.5659
4630,772.34375
4635,662.1962
4640,660.2293
4645,774.41724
4650,647.20667
4655,479.0
4660,602.79193
4665,721.0952
4670,753.5663
4675,928.3961
4680,797.18
4685,801.9051
4690,614.5933
4695,681.1195
4700,694.6835
4705,692.8258
4710,616.20123
4715,558.72076
4720,811.63947
4725,827.50305
4730,451.0
4735,549.8354
4740,704.9079
4745,429.61688
4750,560.55347
4755,602.5948
4760,748.6604
4765,721.9264
4770,680.47797
4775,776.7152
4780,772.5629
4785,592.77905
4790,496.25165
4795,624.44684
4800,651.3245
4805,589.3168
4810,869.90796
4815,673.7485
4820,565.60626
4825,478.87976
4830,966.6948
4835,589.4
4840,604.49677
4845,591.0296
4850,620.99335
4855,626.6405
4860,751.9814
4865,577.81134
4870,749.35486
4875,644.4
4880,718.99365
4885,602.9883
4890,871.5528
4895,677.55035
4900,765.13666
4905,699.04193
4910,784.65643
4915,934.1043
4920,796.74677
4925,532.2625
4930,927.1558
4935,895.9939
4940,715.46106
4945,708.64594
4950,597.66266
4955,858.02423
4960,689.7066
4965,731.6986
4970,661.6225
4975,640.87823
4980,647.0455
4985,697.4379
4990,950.2436
4995,830.2914
5000,739.4684
5005,682.4474
5010,774.12103
5015,729.56604
5020,714.5789
5025,474.20135
5030,942.3941
5035,994.6566
5040,554.5854
5045,737.18787
5050,693.7006
5055,786.24164
5060,659.0541
5065,634.9545
5070,717.18365
5075,744.20776
5080,591.0683
5085,782.5633
5090,746.2679
5095,634.62024
5100,806.2027
5105,645.469
5110,805.4294
5115,683.6645
5120,651.8684
5125,753.72437
5130,772.75
5135,649.38605
5140,637.9217
5145,733.338
5150,463.11185
5155,576.3576
5160,674.5605
5165,887.3727
5170,491.8
5175,700.9427
5180,820.4845
5185,839.974
5190,766.01843
5195,668.4483
5200,577.91925
5205,842.8973
5210,670.14545
5215,608.60736
5220,713.6135
5225,650.6111
5230,568.8562
5235,611.86707
5240,614.81757
5245,755.57227
5250,606.9761
5255,819.8816
5260,554.9801
5265,1017.3734
5270,1126.4192
5275,563.4048
5280,717.35
5285,615.8095
5290,706.7273
5295,517.8571
5300,389.33334
5305,847.8225
5310,541.586
5315,790.4214
5320,635.6209
5325,663.1824
5330,699.9394
5335,631.194
5340,763.5974
5345,602.6516
5350,550.13727
5355,682.09875
5360,550.82666
5365,959.82355
5370,688.1484
5375,832.2975
5380,439.06412
5385,660.7532
5390,702.1391
5395,868.8951
5400,843.0305
5405,713.0523
5410,1147.0916
5415,931.55884
5420,736.35803
5425,697.1761
5430,907.75
5435,756.2917
5440,751.75494
5445,481.27274
5450,728.9497
5455,765.20807
5460,658.0373
5465,848.45
5470,594.8758
5475,607.925
5480,767.90625
5485,657.9818
5490,681.5988
5495,654.55414
5500,830.2595
5505,708.00574
5510,902.2808
5515,827.59875
5520,723.55
5525,789.27155
5530,856.3182
5535,890.0066
5540,581.8224
5545,816.49713
5550,824.9128
5555,599.79877
5560,761.37823
