,1.10_722182
0,1.0
1,1.7849687
2,2.5263157
3,3.1674058
4,3.8289335
5,4.4662576
6,5.1395593
7,5.658215
8,6.273595
9,6.8748674
10,7.3143163
11,7.60166
12,8.523761
13,8.95394
14,9.5975485
15,9.821041
16,10.55873
17,10.790445
18,11.398974
19,12.270355
20,12.396425
21,12.530043
22,14.081774
23,13.344109
24,14.256599
25,15.086868
26,15.094512
27,15.440376
28,15.795852
29,16.46639
30,17.04668
31,17.313509
32,18.122751
33,18.204994
34,18.657732
35,19.548286
36,19.608067
37,20.065353
38,20.658308
39,20.710192
40,20.533403
41,21.111574
42,21.777071
43,22.43576
44,22.021235
45,22.77907
46,23.180761
47,24.536585
48,23.976595
49,24.16928
50,24.113708
51,25.271326
52,25.887733
53,26.473196
54,27.566599
55,27.146154
56,27.911066
57,27.957043
58,26.925888
59,28.872652
60,28.145437
61,30.77456
62,28.61409
63,29.3
64,30.97706
65,30.121275
66,30.482576
67,30.580435
68,30.762436
69,31.870314
70,31.440838
71,31.68919
72,30.818665
73,33.16333
74,35.563423
75,34.779034
76,32.23143
77,35.3348
78,36.14077
79,35.168236
80,36.639175
81,36.77849
82,36.302204
83,36.649548
84,38.387966
85,37.947643
86,35.118572
87,40.570377
88,38.197884
89,37.810757
90,39.516335
91,40.225636
92,40.392895
93,40.324608
94,39.307854
95,41.11371
96,41.98611
97,42.138252
98,42.11111
99,39.594566
100,46.335854
101,41.502052
102,43.718426
103,44.914673
104,42.46212
105,46.592556
106,43.34627
107,44.831482
108,46.616665
109,45.463596
110,45.988552
111,45.54301
112,45.602894
113,47.791138
114,48.46875
115,45.305794
116,43.994904
117,45.962734
118,46.397186
119,51.695023
120,45.88421
121,49.950157
122,49.20126
123,50.665283
124,49.636086
125,52.02505
126,52.367523
127,52.2173
128,52.082993
129,49.090435
130,53.235886
131,51.427246
132,56.28773
133,52.014553
134,53.79188
135,55.14796
136,56.24712
137,52.151924
138,56.09053
139,55.27671
140,57.029285
141,54.890774
142,55.74023
143,56.510902
144,57.92577
145,54.00972
146,56.941597
147,57.97387
148,59.489777
149,54.967346
150,60.24901
151,56.04361
152,56.66265
153,57.575027
154,56.108536
155,57.90239
156,56.323467
157,57.59795
158,61.873672
159,60.114197
160,62.128704
161,57.09979
162,61.92432
163,62.125755
164,58.937435
165,63.448353
166,65.75482
167,65.07194
168,66.671844
169,61.816902
170,64.43469
171,66.87848
172,65.29925
173,62.11272
174,64.42751
175,65.56204
176,63.417465
177,66.74973
178,61.71762
179,64.6725
180,62.18108
181,67.28999
182,63.115055
183,67.38493
184,68.65703
185,61.22591
186,63.147522
187,64.06702
188,68.46694
189,68.913864
190,67.28802
191,71.30211
192,75.69091
193,67.22023
194,70.537254
195,66.92529
196,69.31224
197,70.07976
198,64.038536
199,73.70727
200,70.81217
201,72.60183
202,73.97034
203,70.28008
204,74.8725
205,75.66346
206,71.94781
207,72.90686
208,72.203606
209,73.64604
210,70.854935
211,73.07302
212,72.59299
213,71.990555
214,74.535194
215,74.798096
216,76.100105
217,70.8612
218,76.8826
219,75.89087
220,73.43316
221,79.623955
222,81.2228
223,78.20885
224,76.94808
225,81.66701
226,77.41504
227,75.43118
228,70.73326
229,78.71778
230,83.981705
231,81.875
232,77.987915
233,84.28718
234,75.957085
235,78.50374
236,81.21522
237,81.53694
238,82.05561
239,83.65264
240,81.417465
241,90.82586
242,80.93436
243,75.881996
244,81.36809
245,82.792786
246,81.782036
247,80.04792
248,81.68941
249,86.56768
250,84.063896
251,84.33504
252,83.4078
253,80.42016
254,86.90684
255,85.333336
256,80.241165
257,85.225075
258,85.52008
259,86.357216
260,85.41685
261,83.1648
262,85.324844
263,89.29441
264,85.32184
265,88.671165
266,84.33612
267,88.94704
268,89.75888
269,83.046135
270,94.53879
271,87.246796
272,83.176834
273,87.018166
274,89.347206
275,91.40929
276,90.939644
277,90.91811
278,86.01169
279,86.24142
280,86.83775
281,87.402275
282,91.07708
283,88.796295
284,99.22416
285,90.400406
286,91.6254
287,97.19458
288,97.80746
289,92.53415
290,97.48243
291,92.27874
292,95.9445
293,97.231544
294,94.20968
295,91.94045
296,99.586
297,96.41693
298,95.49845
299,95.84365
300,93.32413
301,95.489006
302,85.456924
303,90.25684
304,98.80061
305,100.88352
306,92.38651
307,97.12854
308,91.375
309,98.191666
310,97.4393
311,98.71159
312,98.15108
313,93.65203
314,93.95854
315,97.17373
316,99.16991
317,94.41103
318,96.815125
319,97.01702
320,103.070435
321,99.25451
322,98.48971
323,95.1294
324,103.034996
325,101.5946
326,100.13488
327,101.79336
328,105.16684
329,101.10854
330,100.79067
331,101.15757
332,102.59624
333,102.70961
334,92.853806
335,104.78681
336,105.59381
337,106.98986
338,100.589745
339,103.472084
340,98.75456
341,102.90293
342,97.33788
343,100.20367
344,105.755554
345,105.50769
346,104.556145
347,114.5142
348,102.629326
349,104.36943
350,111.36437
351,107.72198
352,106.448586
353,108.638664
354,112.97217
355,110.40918
356,103.93168
357,110.13326
358,108.49686
359,104.09776
360,112.5674
361,106.534836
362,108.13719
363,112.332306
364,105.47417
365,111.21466
366,109.87667
367,116.52214
368,114.62293
369,108.975204
370,111.45042
371,110.466805
372,107.591965
373,110.43028
374,105.662476
375,104.76956
376,110.96816
377,111.46226
378,110.85436
379,107.52587
380,111.862785
381,111.107254
382,105.82581
383,116.84226
384,115.86632
